Company,Year,KPI_Name,Value,Unit,GroundTruthCommonValue
Apex Tire Co,2009,Total no. of sites,28.0,,
Apex Tire Co,2009,ISO 14001 sites,20.0,,
Apex Tire Co,2009,% certified sites,0.7142857142857143,,
Apex Tire Co,2009,Production,3035216013.5198617,lb,1376749.7020045011
Apex Tire Co,2009,Water intake,16734.80358647789,10^6 L,16734803.586477889
Apex Tire Co,2009,Water intake - KPI,12.155298499148088,,
Apex Tire Co,2009,Total Purchased Electricity,6993906.621641128,,
Apex Tire Co,2009,Renewable Electricity Purchased,311.991029313192,TJ,311991.02931319195
Apex Tire Co,2009,Non-Renewable Electricity Purchased,6681.915592327937,TJ,6681915.592327937
Apex Tire Co,2009,Self-generated AND consumed electricity on-site,232.3522958083572,TJ,232352.2958083572
Apex Tire Co,2009,Purchased Steam,466.35521747785424,TJ,466355.2174778542
Apex Tire Co,2009,Sold Electricity,30.10097666577286,TJ,30100.976665772858
Apex Tire Co,2009,Sold Steam,208.72432269081088,TJ,208724.3226908109
Apex Tire Co,2009,Energy - Natural Gas,2696381.309952124,Decatherm LHV,2844832.874895652
Apex Tire Co,2009,Energy - Sub bituminous coal,507012650.0951821,kWh HHV,1789456.4121006427
Apex Tire Co,2009,Energy - Brown coal briquettes,0.0,kWh HHV,0.0
Apex Tire Co,2009,Energy - Other bituminous coal,183888173.72693083,kWh HHV,649017.0837421088
Apex Tire Co,2009,Energy - Total Coal,2438473.495842752,,
Apex Tire Co,2009,Energy - Propane,0.0,kL,0.0
Apex Tire Co,2009,Energy - Fuel Oil Heavy A,332823.4244490925,,332823.4244490925
Apex Tire Co,2009,Energy - Fuel Oil Heavy C,0.0,,0.0
Apex Tire Co,2009,Energy - Fuel Oil,332823.4244490925,,
Apex Tire Co,2009,Energy - Diesel,730.2149780241239,kL,28106.387833381374
Apex Tire Co,2009,Energy - Petrol,684.7614610933475,kL,26356.85623830998
Apex Tire Co,2009,Energy - Biomass,102.15024978861982,TJ LHV,102150.2497886198
Apex Tire Co,2009,Energy - Waste tires,1271376.308900617,tire/year,350036.2848958076
Apex Tire Co,2009,Energy - LPG,0.0,kL,0.0
Apex Tire Co,2009,Energy - Other,0.0,TJ LHV,0.0
Apex Tire Co,2009,Total energy,13576568.409514371,,
Apex Tire Co,2009,Total energy - KPI,9.861319301356918,,
Apex Tire Co,2009,CO2 - Natural Gas,159595.12428164607,,
Apex Tire Co,2009,CO2 - Sub bituminous coal,169998.35914956106,,
